Date;Koszalin;Szczecinek;Szczecin
2010-01-01;27.6;38.5;22.1
2010-01-02;16.9;25.0;27.7
2010-01-03;16.0;38.0;91.0
2010-01-04;18.7;28.5;26.3
2010-01-05;34.2;58.5;41.0
2010-01-06;51.6;63.0;85.0
2010-01-07;88.3;83.5;94.5
2010-01-08;70.6;75.8;74.0
2010-01-09;17.0;27.8;22.1
2010-01-10;11.7;15.2;16.4
2010-01-11;14.7;33.7;22.8
2010-01-12;36.9;60.4;57.7
2010-01-13;28.7;41.3;43.9
2010-01-14;32.0;55.0;47.2
2010-01-15;36.0;53.0;63.3
2010-01-16;43.0;41.0;62.1
2010-01-17;34.1;42.4;51.9
2010-01-18;66.3;94.1;80.8
2010-01-19;70.3;78.6;58.1
2010-01-20;30.6;48.1;62.3
2010-01-21;23.5;33.0;37.4
2010-01-22;44.1;60.7;56.3
2010-01-23;54.6;76.8;72.1
2010-01-24;37.1;66.1;67.8
2010-01-25;46.1;90.5;63.0
2010-01-26;82.1;146.5;148.6
2010-01-27;38.0;51.3;112.5
2010-01-28;11.8;21.4;33.3
2010-01-29;21.8;38.9;30.0
2010-01-30;23.0;29.1;34.8
2010-01-31;32.4;52.4;35.2
2010-02-01;46.0;65.0;39.5
2010-02-02;23.1;41.3;28.9
2010-02-03;17.5;24.6;19.3
2010-02-04;30.6;46.6;32.5
2010-02-05;53.9;71.9;63.5
2010-02-06;29.3;40.7;45.4
2010-02-07;32.4;49.9;63.7
2010-02-08;68.8;45.4;81.1
2010-02-09;37.0;76.5;67.2
2010-02-10;67.1;110.1;91.4
2010-02-11;36.7;68.3;49.7
2010-02-12;20.2;51.5;23.2
2010-02-13;55.5;91.1;60.4
2010-02-14;62.5;68.2;88.2
2010-02-15;33.3;41.0;80.4
2010-02-16;30.5;53.9;69.8
2010-02-17;53.3;72.0;77.8
2010-02-18;94.1;116.0;102.4
2010-02-19;54.5;73.2;73.9
2010-02-20;38.4;45.6;42.6
2010-02-21;18.1;26.0;40.4
2010-02-22;34.6;67.1;39.1
2010-02-23;19.6;28.1;31.1
2010-02-24;15.3;25.3;27.6
2010-02-25;51.2;99.8;57.2
2010-02-26;73.1;100.0;44.3
2010-02-27;25.3;34.1;23.7
2010-02-28;23.2;47.4;23.1
2010-03-01;10.8;12.9;13.1
2010-03-02;14.6;15.2;20.1
2010-03-03;16.2;24.1;22.3
2010-03-04;19.6;18.6;28.0
2010-03-05;16.7;25.0;25.5
2010-03-06;29.0;45.6;38.5
2010-03-07;33.8;26.7;28.3
2010-03-08;33.3;54.6;40.0
2010-03-09;32.1;46.5;66.6
2010-03-10;44.3;68.5;60.4
2010-03-11;51.2;76.3;82.4
2010-03-12;33.6;48.4;36.2
2010-03-13;14.1;19.2;22.9
2010-03-14;16.5;20.1;15.2
2010-03-15;26.9;21.7;27.7
2010-03-16;21.6;21.3;29.8
2010-03-17;28.8;31.7;40.5
2010-03-18;53.5;53.7;54.8
2010-03-19;52.7;54.3;56.8
2010-03-20;34.5;37.9;40.0
2010-03-21;18.5;21.1;20.5
2010-03-22;23.7;29.4;36.8
2010-03-23;30.9;42.1;47.0
2010-03-24;30.2;38.1;44.9
2010-03-25;44.8;71.7;64.4
2010-03-26;53.5;69.0;70.7
2010-03-27;29.8;29.0;32.3
2010-03-28;16.5;17.8;16.0
2010-03-29;20.6;31.9;27.6
2010-03-30;23.9;52.2;50.9
2010-03-31;36.0;50.5;40.3
2010-04-01;22.4;20.4;22.0
2010-04-02;28.2;33.0;26.3
2010-04-03;21.9;32.4;26.4
2010-04-04;25.0;38.3;24.7
2010-04-05;19.5;22.5;23.1
2010-04-06;18.3;31.1;33.9
2010-04-07;23.2;37.3;23.7
2010-04-08;38.7;59.0;49.3
2010-04-09;32.1;32.4;32.9
2010-04-10;12.4;17.0;21.5
2010-04-11;18.7;10.0;23.4
2010-04-12;23.0;38.1;
2010-04-13;20.7;42.5;
2010-04-14;17.9;24.1;31.7
2010-04-15;19.2;21.6;22.4
2010-04-16;29.4;26.6;30.1
2010-04-17;32.7;31.9;29.2
2010-04-18;27.3;47.3;32.9
2010-04-19;31.2;27.2;36.6
2010-04-20;25.6;24.1;37.9
2010-04-21;15.4;20.5;19.7
2010-04-22;15.3;14.4;20.7
2010-04-23;22.3;19.6;30.6
2010-04-24;22.7;25.9;31.0
2010-04-25;17.6;25.4;25.9
2010-04-26;26.1;37.1;46.3
2010-04-27;37.0;33.1;34.7
2010-04-28;21.3;23.3;21.6
2010-04-29;27.2;30.1;36.6
2010-04-30;29.1;37.2;34.7
2010-05-01;16.1;18.6;16.6
2010-05-02;21.4;19.8;15.9
2010-05-03;11.0;13.4;15.4
2010-05-04;8.5;16.3;13.9
2010-05-05;11.1;17.1;17.5
2010-05-06;11.7;19.9;19.8
2010-05-07;5.7;16.8;22.8
2010-05-08;7.1;20.2;26.7
2010-05-09;12.9;29.4;32.8
2010-05-10;23.6;35.6;39.9
2010-05-11;21.2;33.3;29.0
2010-05-12;22.6;32.0;29.3
2010-05-13;14.1;20.4;35.2
2010-05-14;18.5;21.2;26.0
2010-05-15;10.7;10.1;14.5
2010-05-16;14.8;17.2;23.5
2010-05-17;18.1;16.6;21.0
2010-05-18;18.7;18.6;24.5
2010-05-19;19.6;31.7;34.7
2010-05-20;16.5;24.5;35.1
2010-05-21;17.9;37.2;23.4
2010-05-22;27.3;22.2;36.6
2010-05-23;15.0;17.2;17.3
2010-05-24;8.9;13.2;12.0
2010-05-25;13.0;15.3;16.9
2010-05-26;14.0;27.0;16.8
2010-05-27;14.6;26.2;17.3
2010-05-28;15.1;33.1;16.0
2010-05-29;13.2;14.9;13.3
2010-05-30;19.0;28.0;18.9
2010-05-31;15.2;20.7;7.0
2010-06-01;16.3;36.4;8.7
2010-06-02;19.9;36.8;17.8
2010-06-03;17.0;24.5;21.1
2010-06-04;17.3;26.5;16.1
2010-06-05;18.9;31.2;16.2
2010-06-06;19.6;26.6;19.7
2010-06-07;18.9;23.6;17.7
2010-06-08;16.7;19.9;17.4
2010-06-09;19.9;27.7;21.1
2010-06-10;23.5;36.8;26.0
2010-06-11;19.7;30.7;19.0
2010-06-12;12.3;11.7;14.5
2010-06-13;15.4;11.8;14.2
2010-06-14;12.7;21.6;16.1
2010-06-15;17.6;20.4;13.4
2010-06-16;7.5;18.4;13.2
2010-06-17;11.3;21.4;18.1
2010-06-18;14.9;24.9;15.6
2010-06-19;13.4;17.2;13.8
2010-06-20;11.6;13.0;10.2
2010-06-21;15.4;16.1;16.9
2010-06-22;13.9;18.9;16.9
2010-06-23;11.8;23.8;23.6
2010-06-24;16.1;30.0;26.5
2010-06-25;24.7;34.6;29.8
2010-06-26;17.1;21.8;20.4
2010-06-27;11.1;18.9;21.1
2010-06-28;12.6;22.8;25.5
