Date;Szczecinek;Szczecin;Koszalin
2020-01-01;21.8;49.9;24.9
2020-01-02;22.0;36.1;28.7
2020-01-03;13.6;18.1;14.9
2020-01-04;11.6;14.7;12.0
2020-01-05;12.0;21.4;12.7
2020-01-06;16.0;22.1;21.1
2020-01-07;25.9;31.2;27.7
2020-01-08;18.0;23.9;17.5
2020-01-09;22.0;21.2;15.5
2020-01-10;10.0;18.1;9.8
2020-01-11;5.6;12.9;8.6
2020-01-12;12.9;15.2;14.6
2020-01-13;10.5;18.7;12.9
2020-01-14;19.8;25.9;14.9
2020-01-15;14.5;27.2;11.1
2020-01-16;18.0;30.9;12.9
2020-01-17;46.3;39.9;32.4
2020-01-18;26.7;25.0;23.8
2020-01-19;20.0;24.5;19.8
2020-01-20;17.2;40.5;17.4
2020-01-21;21.8;43.9;23.5
2020-01-22;14.7;18.5;14.2
2020-01-23;13.2;22.9;12.0
2020-01-24;21.2;39.0;16.7
2020-01-25;11.4;26.3;11.3
2020-01-26;8.9;18.9;12.9
2020-01-27;30.5;25.3;
2020-01-28;24.5;38.8;18.9
2020-01-29;6.3;19.2;6.9
2020-01-30;10.5;17.6;11.1
2020-01-31;12.2;15.8;19.6
2020-02-01;6.3;18.5;10.6
2020-02-02;12.0;18.4;14.9
2020-02-03;17.1;41.2;17.6
2020-02-04;12.7;14.5;14.4
2020-02-05;6.9;14.5;7.5
2020-02-06;11.2;17.1;15.3
2020-02-07;22.3;25.9;14.2
2020-02-08;30.7;33.2;20.6
2020-02-09;25.2;28.1;20.6
2020-02-10;6.9;13.6;8.2
2020-02-11;7.8;17.4;8.2
2020-02-12;9.8;13.6;10.2
2020-02-13;18.5;27.6;16.2
2020-02-14;39.2;42.5;39.3
2020-02-15;25.8;35.9;19.8
2020-02-16;11.1;13.2;9.6
2020-02-17;8.5;41.2;10.0
2020-02-18;9.4;25.0;10.9
2020-02-19;10.5;20.5;11.8
2020-02-20;15.4;44.6;15.5
2020-02-21;14.3;20.1;14.6
2020-02-22;12.0;21.4;10.9
2020-02-23;8.0;9.4;10.4
2020-02-24;10.2;23.9;14.2
2020-02-25;7.3;27.9;7.3
2020-02-26;9.3;21.2;6.9
2020-02-27;7.3;10.9;
2020-02-28;15.4;34.6;15.1
2020-02-29;18.0;20.3;15.3
2020-03-01;8.9;9.4;9.5
2020-03-02;28.3;26.7;19.3
2020-03-03;41.4;30.8;24.2
2020-03-04;14.2;42.6;18.4
2020-03-05;29.0;25.1;
2020-03-06;36.1;29.9;23.5
2020-03-07;24.1;18.7;17.6
2020-03-08;16.7;25.6;18.4
2020-03-09;27.9;24.6;
2020-03-10;15.2;36.8;13.6
2020-03-11;8.9;18.3;13.6
2020-03-12;8.3;16.9;10.7
2020-03-13;10.0;19.4;10.4
2020-03-14;19.2;16.1;9.3
2020-03-15;18.7;14.0;12.0
2020-03-16;25.8;33.2;18.2
2020-03-17;26.5;46.3;24.2
2020-03-18;28.1;31.9;19.5
2020-03-19;18.5;29.6;18.6
2020-03-20;17.6;39.0;20.7
2020-03-21;7.8;10.7;4.9
2020-03-22;7.6;7.2;6.2
